a1,Lg2,Fmax_BIC,m1,a61,L1,Fmax_PEC,I1,l0,ls,L2,Lg1,m2,I2,Fmax_DEL,Fmax_BRA,Fmax_TRI_long,Fmax_TRI_lat,tau_act,D1,D2,tau1,tau2,endpoint_dev_cm,energy_sum_a2
0.03181342736472969,0.16428511685778827,738.5048970290454,1.8713309194967827,0.025744647502671813,0.2787094228918675,698.7115336050006,0.011510852388082566,0.0908285738379806,0.1090119082655369,0.2839723809424537,0.12594275506329472,1.508492118537784,0.016511282792585336,1163.3103699535784,939.5408283631369,785.4933949625121,653.1473484069701,0.014925487332140639,0.47249529252079203,0.2934526246913455,21.359623163996364,6.496972901562415,2.5505471867023,0.5592702138122685
0.03386700264235849,0.1717604076790068,715.1723873396692,1.677733460194258,0.02351262812496096,0.25544342740339776,698.4395091298608,0.01298168591070641,0.09222149808777813,0.1084215457234087,0.2524218925828738,0.14123861114035433,1.3863971569389508,0.016758436210930847,1231.0556408134532,1082.5566958511076,872.9799879455743,629.8662907470982,0.015624385255034613,0.47257003968024297,0.2778172177365663,23.41255553556905,6.732997305803175,1.6411018182478958,0.5990646040673926
0.03253515846955421,0.1708070775454465,787.0006513837504,1.9268651145080262,0.026732817943146685,0.27198979674779894,704.7920023460997,0.013053178782261393,0.09693383385350764,0.10922973808033143,0.25319238591917625,0.14836839122178674,1.3725438640978285,0.018942943057036865,1098.4596004513241,1007.4432257118839,739.9969657780028,657.7799903016113,0.01438812054659511,0.46252782330109,0.2724620105709854,22.002089382744547,7.617291912911523,0.7092453776443046,0.5181764296582592
0.03300487977447671,0.17938700100493815,815.4416617153801,1.9358933810672803,0.023404639024917125,0.25122191306979696,730.5831312306302,0.010976346886838665,0.10101383322407223,0.10705389456991705,0.23569155412290071,0.14494005023324089,1.4599749422986081,0.017885375642746032,1105.0867770832733,919.0784757094485,842.6243968186868,589.9536522084592,0.014740419940766828,0.5489843642454351,0.29658718865872163,23.035345174021316,7.263818743366408,3.0716723290711374,0.5282602861138423
0.03480394448398055,0.17709065995617063,855.1790885736357,1.7564754987050049,0.024042272818154412,0.29023309853849893,737.5687317060964,0.011088705948610406,0.09475279425382571,0.10518672330635914,0.26143454674436384,0.12891745256627035,1.3550308196832013,0.01938899280648028,1117.9206198543177,1084.9240188668002,744.3829408161973,675.2734678022817,0.0143228575575852,0.5344423256692435,0.32824292122809284,25.554632456451397,8.701636026567591,2.0283890179903143,0.53827348865765
0.036521624808022755,0.16543293830088646,706.9182733856643,1.9743360177984315,0.02254829310752758,0.25018484286197107,750.5758819628916,0.01263458529305446,0.10169819390958956,0.09868374236978184,0.25549684262923156,0.14271968245681274,1.2995327005132566,0.01672950262597985,1102.4570734238491,944.130618518929,850.0410925554705,643.3049705981196,0.015070256998509807,0.5464516058366728,0.2944500832708835,24.948324505927715,5.923539191417336,2.0320405476040238,0.5391793356819842
0.035700453779867865,0.17517632959657686,702.7612001826747,1.7157524459823563,0.024279561257176206,0.24637322598707204,666.2244885799748,0.011708370394430817,0.10866663704923038,0.10588975568907547,0.27130422780841357,0.13490548225269405,1.4294156876167896,0.018673853592122536,1028.6423223487473,927.7335889496221,745.118607269576,652.8517462723677,0.015044113458693614,0.4525475517964844,0.27084312055289156,22.74160441160629,6.222514159770248,2.6191792924549446,0.5524136004064653
0.032495429101001345,0.15014254217488904,742.4218801606978,1.9778573305673455,0.024115439782282613,0.2736486599281179,698.9480675366142,0.012092028243046483,0.1003719763427496,0.09908015116994581,0.2740087533578433,0.13079564135233238,1.4162670373450772,0.017039266308677227,1212.320712461556,978.2799726357698,739.3011635193272,596.9478700356591,0.014577213778468748,0.5103159242513817,0.3175513785276644,22.950202784675152,7.268645459359919,1.4476114461827752,0.6049587240693832
0.03804063321989454,0.16583257352396213,749.5868389278305,1.734888470104981,0.022893564762156444,0.27007606360110475,690.882283124911,0.012141076959028635,0.10704135311851873,0.09886318050509009,0.2848872522185205,0.13939256232648056,1.5236147088421796,0.017361913102864897,1252.024127020394,904.9756016001236,876.6299772347675,628.086387433927,0.01445851874670028,0.5168347395953743,0.2961605029044286,27.498462617577854,6.1078414010082485,2.4887368455898793,0.6898531157581527
0.03324760409532047,0.16449014428194814,731.1930866463143,1.7454720036973261,0.025733502323388124,0.254031610431407,654.343209221354,0.012990861597857988,0.10393243107015188,0.09496110980893663,0.23895435458882303,0.12154404357177612,1.4445669326167383,0.01870025259149697,1256.6264619501587,1008.7875148348481,781.273055774908,567.9944210634603,0.014425864804630184,0.4748697200403118,0.3262702311633677,22.98943610217592,7.236609801373696,2.6417960863536525,0.6447715166115028
0.03505115978212112,0.1533891540930366,773.5597478953116,1.8940049963875498,0.027239994418192644,0.2832083650460658,669.3852946928971,0.012276443059292865,0.09997221501448876,0.108618874309698,0.259827722379459,0.1433622810666641,1.4989132945398023,0.019766418090733907,1165.7460587268426,1079.530028972217,815.821286043649,595.5636641137613,0.01457827090574791,0.45453273544186257,0.2941173254724093,23.712654364249424,7.81018503124361,1.3209488512757468,0.5609544282548652
0.032616904870841915,0.15932400469151772,727.0223037023268,1.950207835108403,0.024614886343381874,0.2705650862776206,660.5654975188019,0.012157392578338852,0.1055402500032242,0.09326757101172692,0.28432160996517075,0.13503242374882482,1.5640624506043104,0.018515382129188906,1149.15481508894,913.786647885278,854.3114679482402,564.3018157529583,0.014815769656999623,0.5082070139721652,0.28171657111781,21.207092549898793,6.319846060134345,2.4328173663451333,0.5778138107856049
